i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
1,6448,392,11339,28.925465497599983,404.2124421259916
19,5916,5785,31114,5.378239999999998,499.4096141519048
26,7122,280,1506,5.378239999999998,264.99460059793296
39,9909,4132,4132,1,631.466319571128
1,6448,5785,200,0.03457161303360779,313.28626465068305
32,10069,11339,11339,1,799.036061130843
19,5916,8099,43559,5.378239999999998,508.1989688220223
1,6448,549,15874,28.925465497599983,436.33759645318975
26,7122,1506,43559,28.925465497599983,494.29139827679313
26,7122,392,2108,5.378239999999998,297.4293302075501
1,6448,31114,52,0.001673274998843728,215.01806111382828
19,5916,11339,60983,5.378239999999998,514.7795418070956
1,6448,8099,280,0.03457161303360779,369.2356081824402
1,6448,768,22224,28.925465497599983,465.06936345635467
26,7122,2108,60983,28.925465497599983,524.2486264020866
26,7122,549,2952,5.378239999999998,330.8980715460439
19,5916,15874,85376,5.378239999999998,519.6434851158655
1,6448,43559,73,0.001673274998843728,268.4352990742172
1,6448,11339,392,0.03457161303360779,417.5401471812422
1,6448,1076,31114,28.925465497599983,489.9505441972165
39,9909,5785,5785,1,692.1410203812329
32,10069,15874,15874,1,827.5889697426645
26,7122,2952,85376,28.925465497599983,550.4905412655509
19,5916,22224,119526,5.378239999999998,523.204698792768
1,6448,60983,102,0.001673274998843728,321.76961103062604
26,7122,768,4132,5.378239999999998,366.8809687846483
1,6448,15874,549,0.03457161303360779,457.2254427566214
1,6448,1506,43559,28.925465497599983,510.80055424047345
26,7122,4132,119526,28.925465497599983,572.2810865306
1,6448,85376,143,0.001673274998843728,371.97366395870375
26,7122,1076,5785,5.378239999999998,405.5834698484613
1,6448,22224,768,0.03457161303360779,488.6269221370956
1,6448,2108,60983,28.925465497599983,527.7257024894678
32,10069,22224,22224,1,848.9577350821451
1,6448,119526,200,0.001673274998843728,416.6777138806424
39,9909,8099,8099,1,741.4490272834283
1,6448,31114,1076,0.03457161303360779,512.7879866671423
26,7122,1506,8099,5.378239999999998,445.3104452885678
1,6448,2952,85376,28.925465497599983,541.0783403335677
1,6448,43559,1506,0.03457161303360779,530.9991724984264
26,7122,2108,11339,5.378239999999998,483.4123339707806
1,6448,4132,119526,28.925465497599983,551.3629697177204
32,10069,31114,31114,1,864.7423260132283
1,6448,60983,2108,0.03457161303360779,544.5209918606141
39,9909,11339,11339,1,780.1569367942093
26,7122,2952,15874,5.378239999999998,517.5814007402296
1,6448,85376,2952,0.03457161303360779,554.4521562728846
26,7122,4132,22224,5.378239999999998,546.5261778784247
1,6448,119526,4132,0.03457161303360779,561.6889915467826
32,10069,43559,43559,1,876.2922246189063
39,9909,15874,15874,1,809.7686055819864
26,7122,5785,31114,5.378239999999998,569.9685477682634
26,7122,8099,43559,5.378239999999998,588.3188354704783
32,10069,60983,60983,1,884.6860485858705
39,9909,22224,22224,1,831.9948804206358
26,7122,11339,60983,5.378239999999998,602.3247649687229
26,7122,15874,85376,5.378239999999998,612.8188910322428
32,10069,85376,85376,1,890.7563565082207
39,9909,31114,31114,1,848.4479356727526
13,8634,8099,52,0.006428053235558064,161.22565898279987
26,7122,22224,119526,5.378239999999998,620.5768017066241
13,8634,11339,73,0.006428053235558064,219.7164211716805
32,10069,119526,119526,1,895.1308955867389
39,9909,43559,43559,1,860.5055287417734
13,8634,31114,52,0.001673274998843728,189.15610414951573
13,8634,1506,52,0.03457161303360779,82.47225855351931
13,8634,15874,102,0.006428053235558064,286.44148802145037
13,8634,43559,73,0.001673274998843728,247.08731159249302
13,8634,2108,73,0.03457161303360779,127.58370406794127
39,9909,60983,60983,1,869.2780471666731
13,8634,22224,143,0.006428053235558064,358.1087106450594
13,8634,60983,102,0.001673274998843728,312.1046880587229
13,8634,2952,102,0.03457161303360779,187.20109393989193
13,8634,31114,200,0.006428053235558064,430.2492486342168
39,9909,85376,85376,1,875.6272826831438
13,8634,85376,143,0.001673274998843728,381.19267128956886
16,8403,31114,52,0.001673274998843728,171.3346285089613
13,8634,4132,143,0.03457161303360779,258.84230598855186
13,8634,43559,280,0.006428053235558064,498.3043883858338
39,9909,119526,119526,1,880.2054470794886
13,8634,119526,200,0.001673274998843728,450.2023495275444
13,8634,60983,392,0.006428053235558064,558.7826686149374
16,8403,43559,73,0.001673274998843728,225.1655294337405
13,8634,5785,200,0.03457161303360779,337.3062100239567
13,8634,85376,549,0.006428053235558064,609.8427344734378
16,8403,60983,102,0.001673274998843728,286.31252694565836
13,8634,8099,280,0.03457161303360779,416.167804868987
13,8634,119526,768,0.006428053235558064,651.1917017001853
16,8403,85376,143,0.001673274998843728,352.3767901551709
13,8634,11339,392,0.03457161303360779,489.66082274482136
22,9846,200,200,1,128.09124119848704
13,8634,200,1076,5.378239999999998,238.54266023997687
16,8403,119526,200,0.001673274998843728,419.6675635487778
13,8634,15874,549,0.03457161303360779,553.951081259477
13,8634,200,31114,155.5680955578121,440.4514254672315
22,9846,280,280,1,172.65594809169465
13,8634,280,1506,5.378239999999998,278.01226233596924
13,8634,22224,768,0.03457161303360779,607.4028321936399
13,8634,280,43559,155.5680955578121,463.1902471489772
13,8634,392,2108,5.378239999999998,322.92905746574166
22,9846,392,392,1,229.17580866316518
13,8634,31114,1076,0.03457161303360779,650.1195350979059
13,8634,392,60983,155.5680955578121,490.54173222160097
13,8634,549,2952,5.378239999999998,373.28934078636274
13,8634,43559,1506,0.03457161303360779,683.2466244015418
22,9846,549,549,1,297.56487013503266
13,8634,549,85376,155.5680955578121,522.7333389436127
13,8634,768,4132,5.378239999999998,428.0180089393368
13,8634,60983,2108,0.03457161303360779,708.367106864647
22,9846,768,768,1,375.2439193181511
13,8634,200,5785,28.925465497599983,379.6074353617967
13,8634,768,119526,155.5680955578121,558.6966716844541
13,8634,1076,5785,5.378239999999998,484.6248684058832
39,9909,1506,52,0.03457161303360779,163.44757954816225
13,8634,85376,2952,0.03457161303360779,727.1037950186104
