i,matrix_alpha,habitat_alpha,ratio,eca
45,977,84703,86.73617379884035,379.402900606021
45,2980,43368,14.551915228366852,437.21558935668236
19,625,22204,35.52713678800501,429.4582456096163
1,625,132349,211.75823681357508,479.3686063819036
45,400,14211,35.52713678800501,288.498837712592
45,1221,105879,86.73617379884035,396.8806423813034
45,3725,54210,14.551915228366852,449.00972441499215
19,781,27756,35.52713678800501,440.6781098783315
45,400,2384,5.9604644775390625,212.32537925790288
1,781,165436,211.75823681357508,493.42741432674666
45,500,17764,35.52713678800501,309.1383717695776
45,1526,132349,86.73617379884035,412.9577134848462
45,4657,67763,14.551915228366852,459.0160094438564
19,977,34694,35.52713678800501,451.4382001633308
45,500,2980,5.9604644775390625,236.11564482981075
45,625,22204,35.52713678800501,329.87174450558155
1,977,206795,211.75823681357508,506.21038865622756
45,1907,165436,86.73617379884035,427.42652584072977
45,5821,84703,14.551915228366852,467.4124167519419
19,1221,43368,35.52713678800501,461.70601219787784
45,625,3725,5.9604644775390625,261.03821026268906
45,781,27756,35.52713678800501,350.3192393427942
45,2384,206795,86.73617379884035,440.1934349066816
45,7276,105879,14.551915228366852,474.394211887912
1,1221,258494,211.75823681357508,517.6659915435263
19,1526,54210,35.52713678800501,471.36803838494995
45,781,4657,5.9604644775390625,286.5172471940376
45,977,34694,35.52713678800501,370.0619319226245
45,2980,258494,86.73617379884035,451.26615007125434
45,9095,132349,14.551915228366852,480.1566886851941
1,1526,323117,211.75823681357508,527.782603728961
45,977,5821,5.9604644775390625,311.9061453366303
19,1907,67763,35.52713678800501,480.29011429443733
45,1221,43368,35.52713678800501,388.69176156404853
45,3725,323117,86.73617379884035,460.72945177893945
45,11369,165436,14.551915228366852,484.88406058978615
45,1221,7276,5.9604644775390625,336.54797983131374
45,1526,54210,35.52713678800501,405.8691451256347
26,403897,400,0.0009903520314283043,455.63401447119844
19,2384,84703,35.52713678800501,488.36324486316323
1,400,14211,35.52713678800501,414.53823565112504
1,1907,403897,211.75823681357508,536.5912149849966
45,4657,403897,86.73617379884035,468.71830799326625
45,14211,206795,14.551915228366852,488.7432498435484
45,1526,9095,5.9604644775390625,359.8484758874885
45,1907,67763,35.52713678800501,421.3628262917225
19,2980,105879,35.52713678800501,495.5266860031193
45,17764,258494,14.551915228366852,491.88120455270314
1,500,17764,35.52713678800501,435.1259787514855
26,400,84703,211.75823681357508,401.7948247371283
45,2384,84703,35.52713678800501,435.06195698642756
45,1907,11369,5.9604644775390625,381.33977436496536
19,3725,132349,35.52713678800501,501.77157030089376
45,22204,323117,14.551915228366852,494.4245488260383
1,625,22204,35.52713678800501,454.32117620905535
45,2980,105879,35.52713678800501,446.9646182253776
45,2384,14211,5.9604644775390625,400.7159265235111
45,27756,403897,14.551915228366852,496.48064129290066
19,4657,165436,35.52713678800501,507.1327085196356
26,500,105879,211.75823681357508,414.9780658294416
45,3725,132349,35.52713678800501,457.15307403996775
1,781,27756,35.52713678800501,471.978228044491
45,2980,17764,5.9604644775390625,417.83545616209653
19,5821,206795,35.52713678800501,511.67566111309185
45,4657,165436,35.52713678800501,465.7654579247994
26,625,132349,211.75823681357508,430.48618791660977
45,3725,22204,5.9604644775390625,432.6987825122129
1,977,34694,35.52713678800501,487.99600435846077
19,7276,258494,35.52713678800501,515.4837761859219
26,400,34694,86.73617379884035,396.6223308809598
45,5821,206795,35.52713678800501,472.97019160379267
45,4657,27756,5.9604644775390625,445.41290935497386
19,9095,323117,35.52713678800501,518.647522342438
1,1221,43368,35.52713678800501,502.32036437371045
26,781,165436,211.75823681357508,448.0967994726788
45,7276,258494,35.52713678800501,478.9459968346321
45,5821,34694,5.9604644775390625,456.15416436501795
26,500,43368,86.73617379884035,410.40898112749323
19,11369,403897,35.52713678800501,521.2568037658338
1,1526,54210,35.52713678800501,514.9486642813249
45,9095,323117,35.52713678800501,483.86798199237455
26,400,14211,35.52713678800501,384.5528617925239
45,7276,43368,5.9604644775390625,465.1356872791282
26,977,206795,211.75823681357508,467.1911335066432
45,11369,403897,35.52713678800501,487.89903059083224
26,625,54210,86.73617379884035,426.40397285203926
1,1907,67763,35.52713678800501,525.9297542156652
45,9095,54210,5.9604644775390625,472.5824917475973
26,500,17764,35.52713678800501,399.6847005799955
26,1221,258494,211.75823681357508,486.9492726878997
45,11369,67763,5.9604644775390625,478.7143078837538
1,2384,84703,35.52713678800501,535.3574505199393
26,781,67763,86.73617379884035,444.4325363198057
45,14211,84703,5.9604644775390625,483.7350648670896
26,625,22204,35.52713678800501,416.7733750572523
1,403897,400,0.0009903520314283043,488.6747406873749
26,1526,323117,211.75823681357508,506.54038230053067
1,2980,105879,35.52713678800501,543.3591172767653
26,977,84703,86.73617379884035,463.9103854306309
45,17764,105879,5.9604644775390625,487.82742318994383
1,3725,132349,35.52713678800501,550.0824070752493
26,781,27756,35.52713678800501,435.74692501786484
45,22204,132349,5.9604644775390625,491.1508197770785
26,1907,403897,211.75823681357508,525.2561142093032
26,1221,105879,86.73617379884035,484.03529201198864
1,4657,165436,35.52713678800501,555.6828543584476
45,27756,165436,5.9604644775390625,493.841760562977
26,977,34694,35.52713678800501,456.0992154452257
26,1526,132349,86.73617379884035,503.9807268956931
45,34694,206795,5.9604644775390625,496.0154157421484
1,5821,206795,35.52713678800501,560.3139168518185
26,1221,43368,35.52713678800501,477.0690201504988
45,43368,258494,5.9604644775390625,497.7678624819629
26,1907,165436,86.73617379884035,523.0350305341403
